srcStateName,srcYear,TRU,Gender,Unemployment Rate per 1000 population,YearCode,Year
Punjab,2017-18,Urban,Female,135,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017-18,Urban,Female,99,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017-18,Urban,Female,99,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017-18,Urban,Female,90,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017-18,Urban,Female,197,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017-18,Urban,Female,238,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017-18,Urban,Female,105,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017-18,Urban,Female,60,2017,"Calendar Year (Jan - Dec), 2017"
Andaman and Nicobar Islands,2017-18,Urban,Female,471,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017-18,Urban,Female,212,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017-18,Urban,Female,,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017-18,Urban,Female,43,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017-18,Urban,Female,565,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017-18,Urban,Female,176,2017,"Calendar Year (Jan - Dec), 2017"
Puducherry,2017-18,Rural,Male,58,2017,"Calendar Year (Jan - Dec), 2017"
Lakshadweep,2017-18,Rural,Male,112,2017,"Calendar Year (Jan - Dec), 2017"
Daman & Diu,2017-18,Rural,Male,83,2017,"Calendar Year (Jan - Dec), 2017"
Dadra & Nagar Haveli,2017-18,Rural,Male,12,2017,"Calendar Year (Jan - Dec), 2017"
Chandigarh,2017-18,Rural,Male,39,2017,"Calendar Year (Jan - Dec), 2017"
Andaman and Nicobar Islands,2017-18,Rural,Male,65,2017,"Calendar Year (Jan - Dec), 2017"
West Bengal,2017-18,Rural,Male,43,2017,"Calendar Year (Jan - Dec), 2017"
Uttar Pradesh,2017-18,Rural,Male,62,2017,"Calendar Year (Jan - Dec), 2017"
Uttarakhand,2017-18,Rural,Male,67,2017,"Calendar Year (Jan - Dec), 2017"
Tripura,2017-18,Rural,Male,61,2017,"Calendar Year (Jan - Dec), 2017"
Tamil Nadu,2017-18,Rural,Male,88,2017,"Calendar Year (Jan - Dec), 2017"
Sikkim,2017-18,Rural,Male,20,2017,"Calendar Year (Jan - Dec), 2017"
Rajasthan,2017-18,Rural,Male,58,2017,"Calendar Year (Jan - Dec), 2017"
Punjab,2017-18,Rural,Male,74,2017,"Calendar Year (Jan - Dec), 2017"
Odisha,2017-18,Rural,Male,74,2017,"Calendar Year (Jan - Dec), 2017"
Nagaland,2017-18,Rural,Male,190,2017,"Calendar Year (Jan - Dec), 2017"
